Time: 1618473083.398013 	 Lat:47.47132 	 Long:19.06372 	 Heading: 283.53611 	 Speed:7.36083
Time: 1618473084.498076 	 Lat:47.47127 	 Long:19.06385 	 Heading: 280.57632 	 Speed:8.60750
Time: 1618473085.508071 	 Lat:47.47121 	 Long:19.06387 	 Heading: 280.11396 	 Speed:10.70056
Time: 1618473086.508097 	 Lat:47.47114 	 Long:19.06396 	 Heading: 277.93536 	 Speed:11.66000
Time: 1618473087.508103 	 Lat:47.47107 	 Long:19.06398 	 Heading: 277.26241 	 Speed:11.79750
Time: 1618473088.508121 	 Lat:47.47100 	 Long:19.06405 	 Heading: 276.25095 	 Speed:12.64083
Time: 1618473089.518080 	 Lat:47.47092 	 Long:19.06406 	 Heading: 275.47080 	 Speed:13.54222
Time: 1618473090.518097 	 Lat:47.47083 	 Long:19.06411 	 Heading: 276.26339 	 Speed:14.14417
Time: 1618473091.518118 	 Lat:47.47075 	 Long:19.06413 	 Heading: 275.00558 	 Speed:14.70028
Time: 1618473092.518138 	 Lat:47.47066 	 Long:19.06415 	 Heading: 274.59596 	 Speed:15.09139
Time: 1618473093.518175 	 Lat:47.47056 	 Long:19.06416 	 Heading: 273.50506 	 Speed:15.29917
Time: 1618473094.528244 	 Lat:47.47047 	 Long:19.06418 	 Heading: 273.45230 	 Speed:15.29917
Time: 1618473095.538216 	 Lat:47.47038 	 Long:19.06419 	 Heading: 272.37873 	 Speed:14.90806
Time: 1618473096.538242 	 Lat:47.47029 	 Long:19.06420 	 Heading: 272.66648 	 Speed:14.15639
Time: 1618473097.538257 	 Lat:47.47021 	 Long:19.06420 	 Heading: 272.09196 	 Speed:13.42917
Time: 1618473098.538272 	 Lat:47.47014 	 Long:19.06421 	 Heading: 272.40515 	 Speed:12.36583
Time: 1618473099.538369 	 Lat:47.47007 	 Long:19.06421 	 Heading: 271.92458 	 Speed:11.23222
Time: 1618473100.538387 	 Lat:47.47001 	 Long:19.06422 	 Heading: 269.88003 	 Speed:10.00694
Time: 1618473101.538399 	 Lat:47.46996 	 Long:19.06421 	 Heading: 265.31811 	 Speed:8.64417
Time: 1618473102.538411 	 Lat:47.46991 	 Long:19.06420 	 Heading: 259.35936 	 Speed:8.35389
Time: 1618473103.538448 	 Lat:47.46985 	 Long:19.06417 	 Heading: 244.37952 	 Speed:9.17583
Time: 1618473104.538470 	 Lat:47.46981 	 Long:19.06411 	 Heading: 231.67630 	 Speed:10.11083
Time: 1618473105.538475 	 Lat:47.46978 	 Long:19.06403 	 Heading: 211.08223 	 Speed:10.85028
Time: 1618473106.538500 	 Lat:47.46975 	 Long:19.06393 	 Heading: 197.81266 	 Speed:11.33611
Time: 1618473107.538525 	 Lat:47.46976 	 Long:19.06383 	 Heading: 188.75358 	 Speed:11.68444
Time: 1618473108.538539 	 Lat:47.46975 	 Long:19.06372 	 Heading: 188.92774 	 Speed:12.21306
Time: 1618473109.538560 	 Lat:47.46977 	 Long:19.06362 	 Heading: 184.28159 	 Speed:12.19167
Time: 1618473110.548542 	 Lat:47.46977 	 Long:19.06350 	 Heading: 181.85809 	 Speed:12.94333
Time: 1618473111.548568 	 Lat:47.46979 	 Long:19.06338 	 Heading: 178.90251 	 Speed:13.57889
Time: 1618473112.548595 	 Lat:47.46979 	 Long:19.06326 	 Heading: 177.90640 	 Speed:13.97000
Time: 1618473113.558583 	 Lat:47.46981 	 Long:19.06313 	 Heading: 176.91539 	 Speed:14.23583
Time: 1618473114.558661 	 Lat:47.46981 	 Long:19.06301 	 Heading: 176.12770 	 Speed:13.80806
Time: 1618473115.568618 	 Lat:47.46982 	 Long:19.06289 	 Heading: 174.98838 	 Speed:12.93111
Time: 1618473116.568628 	 Lat:47.46983 	 Long:19.06278 	 Heading: 173.63166 	 Speed:11.89222
Time: 1618473117.568647 	 Lat:47.46984 	 Long:19.06267 	 Heading: 172.83746 	 Speed:12.21306
Time: 1618473118.568667 	 Lat:47.46985 	 Long:19.06256 	 Heading: 173.37682 	 Speed:12.60722
Time: 1618473119.568684 	 Lat:47.46986 	 Long:19.06244 	 Heading: 174.79367 	 Speed:13.12667
Time: 1618473120.568711 	 Lat:47.46987 	 Long:19.06232 	 Heading: 176.16077 	 Speed:13.69500
Time: 1618473121.568733 	 Lat:47.46987 	 Long:19.06219 	 Heading: 182.41557 	 Speed:14.19000
Time: 1618473122.568748 	 Lat:47.46986 	 Long:19.06207 	 Heading: 185.50789 	 Speed:14.45583
Time: 1618473123.568761 	 Lat:47.46983 	 Long:19.06194 	 Heading: 197.15300 	 Speed:14.67583
