Time: 0.000000 	 Lat:47.46948 	 Long:19.06121 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46944 	 Long:19.06110 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46943 	 Long:19.06097 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46942 	 Long:19.06071 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46942 	 Long:19.06058 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46944 	 Long:19.06031 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46946 	 Long:19.06005 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46947 	 Long:19.05992 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46949 	 Long:19.05971 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46950 	 Long:19.05956 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46951 	 Long:19.05943 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46953 	 Long:19.05925 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46955 	 Long:19.05901 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46956 	 Long:19.05881 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46957 	 Long:19.05860 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46958 	 Long:19.05836 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46959 	 Long:19.05823 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46960 	 Long:19.05796 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46962 	 Long:19.05783 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46964 	 Long:19.05755 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46966 	 Long:19.05729 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46968 	 Long:19.05704 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46971 	 Long:19.05682 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46975 	 Long:19.05659 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46981 	 Long:19.05652 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46981 	 Long:19.05652 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46985 	 Long:19.05651 	 Heading: 0.00000 	 Speed:0.00000
Time: 0.000000 	 Lat:47.46997 	 Long:19.05651 	 Heading: 0.00000 	 Speed:0.00000
